S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,sales ,category 
1,Reliance Inds.,583436.72,99810,299430,LARGE CAP
2,TCS,563709.84,30904,92712,LARGE CAP
3,HDFC Bank,482953.59,20581.27,61743.81,LARGE CAP
4,ITC,320985.27,9772.02,29316.06,LARGE CAP
5,H D F C,289497.37,16840.51,50521.53,LARGE CAP
6,Hind. Unilever,288265.26,8590,25770,LARGE CAP
7,Maruti Suzuki,263493.81,19283.2,57849.6,LARGE CAP
8,Infosys,248320.35,17794,53382,LARGE CAP
9,O N G C,239981.5,22995.88,68987.64,LARGE CAP
10,St Bk of India,232763.33,57014.08,171042.24,LARGE CAP
11,ICICI Bank,203802.35,13665.35,40996.05,LARGE CAP
12,Kotak Mah. Bank,199253.77,6390.71,19172.13,LARGE CAP
13,Coal India,192677.98,21643.28,64929.84,LARGE CAP
14,Larsen & Toubro,180860.74,28747.45,86242.35,LARGE CAP
15,I O C L,178017.48,110666.93,332000.79,LARGE CAP
16,Bharti Airtel,167131.29,20318.6,60955.8,LARGE CAP
17,Axis Bank,136380.76,11721.55,35164.65,LARGE CAP
18,NTPC,135390.53,20774.37,62323.11,LARGE CAP
19,Sun Pharma.Inds.,134241.36,6653.23,19959.69,LARGE CAP
20,Hind.Zinc,133266.56,5922,17766,LARGE CAP
21,Wipro,131840.57,13669,41007,LARGE CAP
22,HCL Technologies,126335.27,12809,38427,LARGE CAP
23,Vedanta,122184.17,24361,73083,LARGE CAP
24,Tata Motors,117071.87,74156.07,222468.21,LARGE CAP
25,UltraTech Cem.,113692.87,8019.24,24057.72,LARGE CAP
26,Asian Paints,108044.04,4260.52,12781.56,LARGE CAP
27,Power Grid Corpn,102016.01,7506.95,22520.85,LARGE CAP
28,B P C L,98278,60616.36,181849.08,LARGE CAP
29,IndusInd Bank,97379.96,4286.78,12860.34,LARGE CAP
30,Bajaj Fin.,94476.77,3540.63,10621.89,LARGE CAP
31,Bajaj Auto,88252.6,6369.34,19108.02,LARGE CAP
32,M & M,88142.35,11577.78,34733.34,LARGE CAP
33,HDFC Stand. Life,87358.23,9734.9,29204.7,LARGE CAP
34,Adani Ports,81781.89,2688.85,8066.55,LARGE CAP
35,Bajaj Finserv,79795.11,7665.4,22996.2,LARGE CAP
36,GAIL (India),78670.97,14414.34,43243.02,LARGE CAP
37,Avenue Super.,74066.35,4094.82,12284.46,LARGE CAP
38,Titan Company,73886,4274.84,12824.52,LARGE CAP
39,JSW Steel,73870.26,17861,53583,LARGE CAP
40,Grasim Inds,73532.62,15291.42,45874.26,LARGE CAP
